file,smiles,Affinity
10gs,[NH3+][C@@H](CCC(=O)N[C@@H](CSCc1ccccc1)C(=O)N[C@@H](C(=O)[O-])c1ccccc1)C(=O)[O-],6.92
1a30,CC(C)C[C@H](NC(=O)[C@H](CC(=O)[O-])NC(=O)[C@@H]([NH3+])CCC(=O)[O-])C(=O)[O-],8
1bcu,Nc1ccc2cc3ccc(N)cc3nc2c1,6.52
1e66,CCC1=C[C@@H]2Cc3nc4cc(Cl)ccc4c(N)c3[C@H](C1)C2,4.89
1f8b,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)[O-])=C[C@@H]1O,8.05
1f8c,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)[O-])=C[C@@H]1[NH3+],8.74
1f8d,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)C[NH3+])OC(C(=O)[O-])=C[C@@H]1O,2.4
1gpk,C/C=C1\[C@@H]2C=C(C)C[C@@]1([NH3+])c1ccc(=O)[nH]c1C2,10.17
1h23,O=c1ccc2c([nH]1)CCC[C@@H]2[NH2+]CCCCCCCCCCCC[NH2+][C@H]1CCCc2[nH]c(=O)ccc21,8.82
1hfs,CC(C)C[C@H](NC(=O)[C@H](CCc1ccc(-c2ccc(F)cc2)cc1)C[C@H](CCCCN1Cc2ccccc2C1=O)C(=O)[O-])C(=O)Nc1ccccc1,4.76
1hnn,NS(=O)(=O)c1ccc2c(c1)C[NH2+]CC2,5.85
1igj,C[C@H]1O[C@@H](O[C@H]2CC[C@@]3(C)[C@H](CC[C@@H]4[C@@H]3C[C@@H](O)[C@]3(C)[C@@H](C5=CC(=O)OC5)CC[C@]43O)C2)C[C@H](O)[C@@H]1O,5.7
1jyq,C[C@@](Cc1ccc(OP(=O)([O-])[O-])cc1)(NC(=O)[C@H](Cc1ccc(OP(=O)([O-])[O-])cc1)NC(=O)OCc1cccc(N)c1)C(=O)N[C@@H](CC(N)=O)C(=O)[O-],11.15
1kel,O=C([O-])CCCC[N@H+](Cc1ccc([N+](=O)[O-])cc1)CP(=O)([O-])[O-],6.01
1lbk,[NH3+][C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],5.66
1lol,O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2[nH]1,6.3
1loq,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1,6.54
1lor,O=c1cc(O)n([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1,2.77
1mq6,COc1cc(Cl)cc(C(=O)Nc2ccc(Cl)cn2)c1NC(=O)c1scc(CN(C)C2=NCCO2)c1Cl,7.28
1n1m,CC(C)[C@H]([NH3+])C(=O)N1CCCC1,2.57
1n2v,CCCCc1nc2c(=O)[nH][nH]c(=O)c2[nH]1,9.19
1nvq,C[NH2+][C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)N[C@@H]4O,11.33
1o3f,C[NH2+][C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)N[C@@H]4O,10.6
1o5b,C[NH2+][C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)N[C@@H]4O,2.07
1os0,[NH3+][C@@H](Cc1ccccc1)[P@](=O)([O-])C[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)[O-],5.22
1oyt,[NH3+][C@@H](Cc1ccccc1)[P@](=O)([O-])C[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)[O-],6.27
1p1q,Cc1o[nH]c(=O)c1C[C@H]([NH3+])C(=O)[O-],7.77
1ps3,O=C1N[C@@H]2[C@@H](O)[C@@H](O)[C@H](O)[C@@H](CO)N2C1=O,6.42
1q8t,C[C@@H]([NH3+])[C@H]1CC[C@H](C(=O)Nc2ccncc2)CC1,4.38
1q8u,Cc1cncc2cccc(S(=O)(=O)N3CCC[NH2+]C[C@@H]3C)c12,6.9
1qi0,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,10.77
1r5y,Nc1ccc2nc(N)[nH]c(=O)c2c1,8.66
1sln,Nc1ccc2nc(N)[nH]c(=O)c2c1,8.7
1sqa,Nc1ccc2nc(N)[nH]c(=O)c2c1,6.28
1u1b,Cc1cn([C@H]2C[C@H](O[P@](=O)([O-])O[P@](=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3OP(=O)([O-])[O-])[C@@H](COP(=O)([O-])[O-])O2)c(=O)[nH]c1=O,7.3
1u33,CO[C@H]1[C@H](O)[C@@H](O)[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)/C(=N/O)N[C@@H]3CO)O[C@@H]2CO)O[C@@H]1CO,2.35
1uto,[NH3+]CCc1ccccc1,4.8
1vso,CC(C)(C)c1onc(OCP(=O)([O-])[O-])c1C[C@H]([NH3+])C(=O)[O-],8.52
1w3k,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)C[NH2+]O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,3.46
1w3l,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O[C@H]3[C@H](O)C[NH2+]O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,6.8
1w4o,O=c1ccn([C@@H]2O[C@H](CO)[C@@H](OP(=O)([O-])[O-])[C@@H]2O)c(=O)[nH]1,4.08
1xd0,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1[NH2+][C@H]1C[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,5.06
1yc1,CCc1cc(-c2n[nH]c(C(=O)[O-])c2-c2ccc3c(c2)OCO3)c(O)cc1O,4.12
1z95,C[C@](O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,5.6
1zea,CC(C)[C@@H]([NH3+])C(=O)N1CCC[C@@H]1C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@H](CCC(N)=O)C(=O)N[C@H](Cc1c[nH]cn1)C(=O)N[C@H](Cc1ccc(O)cc1)C(=O)N[C@H](CC(=O)[O-])C(=O)N[C@H](CO)C(=O)[O-],2.4
2brb,OCCNc1ncnc2oc(-c3ccccc3)c(-c3ccccc3)c12,4.13
2cbj,CC(=O)N[C@H]1/C(=N/OC(=O)Nc2ccccc2)O[C@H](CO)[C@@H](O)[C@@H]1O,5.77
2cet,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)c2nc(CCc3ccccc3)cn21,7.96
2d1o,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)c2nc(CCc3ccccc3)cn21,6.4
2d3u,Cc1ccccc1S(=O)(=O)Nc1cc(-c2ccc(C#N)cc2)sc1C(=O)[O-],4.3
2fvd,COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CCN(S(C)(=O)=O)CC2)nc1N,5.58
2g70,O=[N+]([O-])c1ccc2c(c1)C[NH2+][C@@H](CO)C2,7.59
2gss,C=C(CC)C(=O)c1ccc(OCC(=O)[O-])c(Cl)c1Cl,8.25
2hb1,O=C([O-])COc1c(Br)csc1C(=O)[O-],7.24
2iwx,O=C1CCCCC/C=C/CCOC(=O)c2c(O)cc(O)c(Cl)c2C1,9.21
2j62,CC(C)C(=O)N[C@H]1c2nc(CCc3ccccc3)cn2[C@H](CO)[C@@H](O)[C@@H]1O,6.24
2j78,OC[C@H]1N/C(=N\O)[C@H](O)[C@@H](O)[C@@H]1O,3.1
2jdm,CO[C@@H]1O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]1O,2.85
2jdu,CO[C@@H]1O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]1O,4.05
2jdy,CO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,6.88
2obf,O=S(=O)(Nc1ccc(Cl)cc1)c1ccc2c(c1)C[NH2+][C@@H](CO)C2,3.72
2ole,[NH3+][C@@H](CC(=O)N1CCCCCN1C(=O)c1ccccc1)Cc1cc(F)c(F)cc1F,5.26
2p4y,COc1ccc2c(-c3c(C)n(Cc4cc(O[C@H](C)C(=O)[O-])ccc4Cl)c4cc(OC(F)(F)F)ccc34)noc2c1,5.37
2pcp,c1ccc(C2([NH+]3CCCCC3)CCCCC2)cc1,4.94
2pq9,O=C([O-])C1=C[C@@H](OP(=O)([O-])[O-])[C@@H](O)[C@H](O[C@@](OP(=O)([O-])[O-])(C(=O)[O-])C(F)F)C1,9.13
2qbp,O=C([O-])COc1c(C(=O)[O-])sc(-c2cccc(NC3CCN(S(=O)(=O)Cc4ccccc4)CC3)c2)c1Br,6.72
2qbr,O=C([O-])COc1c(C(=O)[O-])sc(-c2cccc(NCc3ccccc3)c2)c1Br,11.34
2qft,O=C([O-])C[NH2+]CP(=O)([O-])[O-],6.64
2qmj,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1[NH2+][C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,11.52
2r23,C=CCO[C@]1(C(=O)[O-])C[C@@H](O[C@@]2(C(=O)[O-])O[C@H]([C@H](O)CO)[C@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@@H]([C@H](O)CO)O1,6.02
2v00,Nc1nc(CCc2ccccc2)cc(=O)[nH]1,9.52
2v7a,CO[C@@H](C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CC[NH+](C)CC4)cc3)c2C1)c1ccccc1,8.27
2vl4,OC[C@H]1C[NH2+][C@@H](O)[C@@H](O)[C@@H]1O,6.17
2vo5,OC[C@H]1C[C@@H]2[C@@H](O)[C@@H](O)[C@@]1(O)C[N@@H+]2Cc1ccccc1,5.22
2vot,OC[C@@H]1[C@@H](O)[C@H](O)[C@H](O)c2nc(CNc3ccccc3)cn21,2.62
2vvn,CCNC1=N[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]2S1,4.09
2vw5,CO[C@H]1C[C@H](C)Cc2cc(O)cc(c2)NC(=O)/C(C)=C/CC[C@H](C)[C@@H](OC(N)=O)/C(C)=C/[C@H](C)[C@H]1O,5.1
2w66,CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)[NH2+]C[C@H]1O,7
2wbg,CCCCCCCC/N=C1\OC[C@@H]2[C@@H](O)[C@H](O)[C@@H](O)[C@H](O)N12,4.19
2wca,CCCC(=O)N[C@H]1/C(=N/OC(=O)Nc2ccccc2)O[C@H](CO)[C@@H](O)[C@@H]1O,3.8
2weg,NS(=O)(=O)c1ccccc1F,7.7
2wtv,O=C([O-])c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1,10
2x00,CC1=C([C@@H]2C[C@H](C)C(=O)O2)CC[C@]23CCCN=C2CC/C=C(\C)[C@@H]2O[C@@H](CC[C@H](O)/C(C)=C/[C@@H]13)C[C@H]2C,4.86
2x0y,Cn1c(=O)c2c(ncn2C[C@H](O)CO)n(C)c1=O,6.03
2x8z,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)[O-],4.6
2x97,CC(=O)N[C@@H](CC(=O)[O-])C(=O)N[C@@H](Cc1ccccc1)[P@@](=O)([O-])C[C@@H](C)C(=O)N[C@@H](C)C(N)=O,10.92
2xb8,COc1ccc(C[C@H]2C(=O)[C@@H](O)[C@H](O)C[C@]2(O)C(=O)[O-])cc1,8.57
2xbv,O=C(Nc1ccc(Cl)cn1)[C@H]1C[N@H+](CC(F)F)C[C@@H]1C(=O)Nc1ccc(-n2ccccc2=O)cc1F,6.07
2xdl,CCN(CC)C(=O)c1ccc(O)c(OC)c1,10.7
2xhm,CC[C@H](C)[C@H](NC(C)=O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccc(O)cc1)P(=O)([O-])[O-],6.5
2xnb,Cc1c(-c2ccnc(Nc3ccc(N4CC[NH2+]CC4)cc3)n2)sc(=O)n1C,9
2xy9,O=C(N[C@@H](Cc1ccccc1)[P@@](=O)([O-])C[C@H](Cc1cc(-c2ccccc2)no1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)[O-])OCc1ccccc1,6.08
2xys,O[C@@H]1C[C@@H]2OCC=C3C[N@@H+]4CC[C@]56c7ccccc7N1[C@H]5[C@H]2[C@H]3C[C@H]46,4.76
2y5h,C[N+](C)(C)CCCN1C(=O)[C@@H]2[C@H](C1=O)[C@H](c1coc(-c3ccc(Cl)s3)n1)[N@H+]1CCC[C@@H]21,8.4
2yfe,COc1cc(CCc2ccccc2)c(C(=O)[O-])c(O)c1CC=C(C)C,9.89
2yge,COC1=C2C[C@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,8.52
2yki,O=C(N[C@@H]1c2ccccc2-c2c(-c3nc4ccncc4[nH]3)cccc21)c1ccnc2[nH]ccc12,8.02
2ymd,[NH3+]CCc1c[nH]c2ccc(O)cc12,2.27
2zcq,O=P([O-])([O-])[C@@H](CCCc1cccc(Oc2ccccc2)c1)S(=O)(=O)[O-],4.66
2zcr,CCCCc1ccc(-c2ccc(CCC[C@H](P(=O)([O-])[O-])S(=O)(=O)[O-])cc2)cc1,9.3
2zjw,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,6.02
2zwz,C[C@@H]1[NH2+][C@H](C[NH3+])[C@@H](O)[C@H](O)[C@@H]1O,7.96
2zx6,C[C@@H]1[NH2+][C@H](CNC(=O)Cc2c[nH]c3ccccc23)[C@@H](O)[C@H](O)[C@@H]1O,11.06
2zxd,CC(C)[C@@H]1[NH2+]C[C@@H](O)[C@H](O)[C@@H]1O,4.82
3acw,O[C@]1(c2ccc(-c3ccccc3)cc2)C[N@H+]2CC[C@@H]1CC2,7.32
3ag9,O[C@]1(c2ccc(-c3ccccc3)cc2)C[N@H+]2CC[C@@H]1CC2,3.16
3ao4,Cn1nc(-c2ccc3c(c2)OCO3)cc1N,3.7
3b3s,CC(C)C[C@H]([NH3+])C(=O)[O-],9
3b3w,CC(C)C[C@H]([NH3+])C(=O)[O-],4.89
3b68,CC(=O)Nc1ccc(OC[C@](C)(O)C(=O)Nc2ccc([N+](=O)[O-])c(C(F)(F)F)c2)cc1,5.4
3bfu,[NH3+][C@H](Cc1ns[nH]c1=O)C(=O)[O-],2.52
3bkk,O=C(CCC(O)(O)[C@H](Cc1ccccc1)NC(=O)c1ccccc1)N[C@@H](Cc1ccccc1)C(=O)[O-],4.19
3bpc,C/C=C\O[C@]1(C(=O)[O-])C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)CO[C@]2(C(=O)[O-])C=CC[C@@H]([C@H](O)CO)O2)O1,3.4
3cft,Nc1cccc2c(S(=O)(=O)[O-])cccc12,6.46
3cj2,C[C@@H]1C[C@H](C)CN(C(=O)c2cc(Br)ccc2N)C1,8.4
3coy,CC(C)(C)[C@@H]([NH3+])C(=O)NS(=O)(=O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,4.72
3cyx,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2C[N@H+]1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,5.64
3d4z,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)c2nccn21,9
3dd0,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,7.7
3dxg,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1,4.85
3e93,Cc1ccc(C(=O)Nc2cccc(N3CCOCC3)c2)cc1-c1ccc2c(C3CC[NH2+]CC3)noc2c1,5.4
3ebp,C[N@H+]1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,2.96
3ehy,COc1ccc(S(=O)(=O)N[C@H](C)C(=O)[O-])cc1,5.79
3ejr,CC(C)(C)c1ccc(C(=O)C[C@H]2CC[C@@H](O)[C@@H]3[C@H](O)[C@H](O)C[N@@H+]23)cc1,4.3
3f17,O=NC(=O)CNS(=O)(=O)c1ccc(-c2ccccc2)cc1,2.55
3f3a,[NH3+][C@@H](Cc1c[nH]c2ccccc12)C(=O)[O-],2.28
3f3c,[NH3+][C@@H](Cc1ccc(F)cc1)C(=O)[O-],4.45
3f3e,CC(C)C[C@H]([NH3+])C(=O)[O-],7.52
3f80,[NH3+][C@@H](CCCC[N+](=O)[O-])C(=O)[O-],8.85
3fcq,CC(=O)Oc1c(C)cccc1C(=O)[O-],7.7
3fk1,O=C([O-])C[NH2+]CP(=O)([O-])[O-],5.96
